bucket,sample_size,wins,predicted_probability,observed_win_rate,wilson_95_low,wilson_95_high,calibration_gap,error_direction,statistically_significant,corrected_input_rows,legacy_input_rows,legacy_input_share,ece_contribution,log_loss_contribution,brier_contribution,average_ev,average_roi,average_clv,average_market_disagreement,average_confidence,ece_rank,ece_share,cumulative_ece_share,persistence_verdict,engineering_attribution,recalibration_recommendation
0.55–0.60,29,12,0.577117,0.413793,0.255132,0.592622,-0.163324,overconfident,False,0,29,1.0,0.04468302,0.2021696,0.07457998,12.078621,-19.5379,1.237,0.059248,0.154234,1,0.358862,0.358862,likely_sampling_noise_or_insufficient_history,"Observed associations, not proven causes: 100% of rows predate totals input v2 and therefore carry the known FIP/travel/bullpen-label defects; mean model-minus-market disagreement is +0.059; largest associations are temp_f (+0.61 SD), context_away_games_last_3 (-0.41 SD), home_starter_usage_starts_used (+0.38 SD); the bucket prediction remains inside its Wilson interval; resolved live-shadow evidence is unavailable.",not recommended: resolved live-shadow confirmation is absent
0.70–0.75,9,4,0.722267,0.444444,0.188779,0.733349,-0.277822,overconfident,False,0,9,1.0,0.02358868,0.07204231,0.02723136,40.661111,-13.1111,0.661667,0.208242,0.444533,2,0.189447,0.548309,likely_sampling_noise_or_insufficient_history,"Observed associations, not proven causes: 100% of rows predate totals input v2 and therefore carry the known FIP/travel/bullpen-label defects; direction mix differs from the full sample (OVER 0% vs 30%); mean model-minus-market disagreement is +0.208; largest associations are home_starter_usage_avg_pitches (-1.87 SD), expected_total (-1.53 SD), context_rest_adv (+1.20 SD); the bucket prediction remains inside its Wilson interval; resolved live-shadow evidence is unavailable.",not recommended: resolved live-shadow confirmation is absent
0.65–0.70,15,8,0.67452,0.533333,0.30117,0.751905,-0.141187,overconfident,False,0,15,1.0,0.01997925,0.10503641,0.0385661,32.153333,3.1467,2.388636,0.160751,0.34904,3,0.160459,0.708768,likely_sampling_noise_or_insufficient_history,"Observed associations, not proven causes: 100% of rows predate totals input v2 and therefore carry the known FIP/travel/bullpen-label defects; mean model-minus-market disagreement is +0.161; largest associations are context_home_available_recent_reliever_era (+1.01 SD), context_bullpen_fatigue_adv (-0.88 SD), away_available_bp_era (+0.80 SD); the bucket prediction remains inside its Wilson interval; resolved live-shadow evidence is unavailable.",not recommended: resolved live-shadow confirmation is absent
0.60–0.65,16,8,0.627825,0.5,0.279996,0.720004,-0.127825,overconfident,False,0,16,1.0,0.01929434,0.10672751,0.03879672,21.621875,-2.925,2.068067,0.107514,0.25565,4,0.154958,0.863726,likely_sampling_noise_or_insufficient_history,"Observed associations, not proven causes: 100% of rows predate totals input v2 and therefore carry the known FIP/travel/bullpen-label defects; mean model-minus-market disagreement is +0.108; largest associations are home_starter_usage_avg_pitches (-0.56 SD), park_factor (-0.56 SD), temp_f (-0.45 SD); the bucket prediction remains inside its Wilson interval; resolved live-shadow evidence is unavailable.",not recommended: resolved live-shadow confirmation is absent
0.50–0.55,32,18,0.523463,0.5625,0.393256,0.718347,0.039037,underconfident,False,0,32,1.0,0.01178491,0.20934421,0.07551495,2.510312,9.8062,1.317103,0.012219,0.046925,5,0.094648,0.958374,likely_sampling_noise_or_insufficient_history,"Observed associations, not proven causes: 100% of rows predate totals input v2 and therefore carry the known FIP/travel/bullpen-label defects; mean model-minus-market disagreement is +0.012; largest associations are contact_quality_runs_adj (+0.48 SD), park_factor (+0.48 SD), ump_runs_adj (+0.44 SD); the bucket prediction remains inside its Wilson interval; resolved live-shadow evidence is unavailable.",not recommended: resolved live-shadow confirmation is absent
0.00–0.50,1,0,0.385,0.0,0.0,0.793451,-0.385,overconfident,False,0,1,1.0,0.00363208,0.00458616,0.00139835,25.7,-100.0,,-0.228497,0.23,6,0.02917,0.987544,likely_sampling_noise_or_insufficient_history,"Observed associations, not proven causes: 100% of rows predate totals input v2 and therefore carry the known FIP/travel/bullpen-label defects; direction mix differs from the full sample (OVER 0% vs 30%); mean model-minus-market disagreement is -0.228; the bucket prediction remains inside its Wilson interval; resolved live-shadow evidence is unavailable.",not recommended: resolved live-shadow confirmation is absent
0.75–1.00,4,3,0.7911,0.75,0.300642,0.954413,-0.0411,overconfident,False,0,4,1.0,0.00155094,0.02205221,0.00736102,50.33,42.3,1.622,0.264634,0.5822,7,0.012456,1.0,likely_sampling_noise_or_insufficient_history,"Observed associations, not proven causes: 100% of rows predate totals input v2 and therefore carry the known FIP/travel/bullpen-label defects; mean model-minus-market disagreement is +0.265; largest associations are ump_runs_adj (-4.79 SD), context_away_bullpen_pitches_3d (+1.83 SD), expected_total (-1.82 SD); the bucket prediction remains inside its Wilson interval; resolved live-shadow evidence is unavailable.",not recommended: resolved live-shadow confirmation is absent
