fpr,tpr,threshold
0.0,0.0,inf
0.0022,0.0,0.6204
0.0022,0.0027,0.6047
0.0134,0.0027,0.5854
0.0134,0.0054,0.5827
0.0157,0.0054,0.5722
0.0157,0.0163,0.5634
0.0179,0.0163,0.56
0.0179,0.0191,0.5581
0.0201,0.0191,0.5573
0.0201,0.0245,0.5501
0.0268,0.0245,0.5476
0.0268,0.0272,0.5469
0.0313,0.0272,0.5425
0.0313,0.0327,0.5417
0.0447,0.0327,0.5392
0.0447,0.0409,0.5369
0.047,0.0409,0.5359
0.047,0.0463,0.5336
0.0515,0.0463,0.5302
0.0515,0.049,0.5298
0.0537,0.049,0.5297
0.0537,0.0518,0.5283
0.0559,0.0518,0.5279
0.0559,0.0545,0.5267
0.0582,0.0545,0.5266
0.0582,0.0599,0.5239
0.0604,0.0599,0.5233
0.0604,0.0681,0.5218
0.0626,0.0681,0.5213
0.0626,0.0708,0.5209
0.0649,0.0708,0.5207
0.0649,0.079,0.52
0.0671,0.079,0.5198
0.0671,0.0817,0.5189
0.0694,0.0817,0.5188
0.0694,0.0899,0.5172
0.0761,0.0899,0.5158
0.0761,0.0926,0.5157
0.0783,0.0926,0.5151
0.0783,0.0954,0.515
0.0828,0.0954,0.5147
0.0828,0.1035,0.5144
0.085,0.1035,0.5142
0.085,0.1063,0.5137
0.0895,0.1063,0.5127
0.0895,0.109,0.5123
0.094,0.109,0.5106
0.094,0.1144,0.5105
0.0962,0.1144,0.5101
0.0962,0.1172,0.5093
0.0984,0.1172,0.5083
0.0984,0.1226,0.508
0.1007,0.1226,0.5079
0.1007,0.1308,0.507
0.1051,0.1308,0.5059
0.1051,0.1335,0.5058
0.1186,0.1335,0.5036
0.1186,0.1362,0.5035
0.1208,0.1362,0.5035
0.1208,0.139,0.5032
0.123,0.139,0.5032
0.123,0.1417,0.5028
0.1253,0.1417,0.5021
0.1253,0.1526,0.5013
0.1298,0.1526,0.5011
0.1298,0.1553,0.5009
0.132,0.1553,0.5008
0.132,0.1662,0.4998
0.1365,0.1662,0.4991
0.1365,0.1689,0.4991
0.1454,0.1689,0.4976
0.1454,0.1717,0.4972
0.1477,0.1717,0.4972
0.1477,0.1744,0.497
0.1588,0.1744,0.4945
0.1588,0.1771,0.4943
0.1633,0.1771,0.4937
0.1633,0.1798,0.4931
0.1655,0.1798,0.4927
0.1655,0.1826,0.4926
0.1745,0.1826,0.4921
0.1745,0.1853,0.4917
0.1767,0.1853,0.4917
0.1767,0.1907,0.4909
0.179,0.1907,0.4907
0.179,0.1989,0.4899
0.1812,0.1989,0.4891
0.1812,0.2044,0.4879
0.1834,0.2044,0.4879
0.1834,0.2098,0.4877
0.1857,0.2098,0.4873
0.1857,0.2343,0.4855
0.1924,0.2343,0.4851
0.1924,0.2371,0.4844
0.1969,0.2371,0.4838
0.1969,0.2425,0.4833
0.2036,0.2425,0.483
0.2036,0.2452,0.483
0.217,0.2452,0.4811
0.217,0.2507,0.481
0.2215,0.2507,0.4804
0.2215,0.2561,0.4794
0.2282,0.2561,0.4792
0.2282,0.2589,0.4792
0.2304,0.2589,0.4786
0.2304,0.2725,0.4779
0.2438,0.2725,0.4767
0.2438,0.2779,0.4766
0.2461,0.2779,0.4764
0.2461,0.2834,0.476
0.2483,0.2834,0.4759
0.2483,0.2861,0.4756
0.2506,0.2861,0.4753
0.2506,0.2916,0.4751
0.255,0.2916,0.4747
0.255,0.297,0.474
0.2573,0.297,0.474
0.2573,0.2997,0.4738
0.2617,0.2997,0.4734
0.2617,0.3025,0.4732
0.264,0.3025,0.4732
0.264,0.3106,0.4726
0.2774,0.3106,0.4717
0.2774,0.3215,0.4709
0.2819,0.3215,0.4709
0.2819,0.3243,0.4709
0.2841,0.3243,0.4708
0.2841,0.3297,0.4706
0.2908,0.3297,0.4702
0.2908,0.3324,0.4701
0.2953,0.3324,0.47
0.2953,0.3406,0.4692
0.2975,0.3406,0.4692
0.2975,0.3433,0.469
0.2998,0.3433,0.4688
0.2998,0.346,0.4688
0.302,0.346,0.4687
0.302,0.3569,0.4681
0.3065,0.3569,0.4678
0.3065,0.3624,0.4673
0.311,0.3624,0.4668
0.311,0.3678,0.4667
0.3199,0.3678,0.4658
0.3199,0.3706,0.4655
0.3221,0.3706,0.4653
0.3221,0.376,0.4652
0.3244,0.376,0.4651
0.3244,0.3787,0.4649
0.3266,0.3787,0.4649
0.3266,0.3842,0.4642
0.3333,0.3842,0.4639
0.3333,0.3896,0.4637
0.34,0.3896,0.4628
0.34,0.406,0.4618
0.3423,0.406,0.4617
0.3423,0.4087,0.4617
0.349,0.4087,0.4613
0.349,0.4114,0.4613
0.3535,0.4114,0.461
0.3535,0.4196,0.4604
0.3557,0.4196,0.4601
0.3557,0.4278,0.4593
0.3579,0.4278,0.4593
0.3579,0.436,0.4591
0.3602,0.436,0.459
0.3602,0.4414,0.4588
0.3647,0.4414,0.4584
0.3647,0.4469,0.458
0.3669,0.4469,0.458
0.3669,0.4523,0.4579
0.3714,0.4523,0.4574
0.3714,0.455,0.4574
